"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber"
0,13,5,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,33,485
0,12,3,1,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,24,486
0,14,5,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,487
0,20,7,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34,490
0,21,7,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,35,491
0,12,8,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,0,0,0,33,492
0,18,5,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,1,0,31,493
0,17,10,0,0,0,3,0,1,0,0,0,1,0,14,0,0,1,0,0,0,47,494
0,11,5,1,1,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,37,495
0,10,3,0,0,0,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,46,497
0,11,4,0,0,0,5,0,0,0,0,0,0,0,46,0,0,0,0,0,0,66,498
0,11,0,1,0,0,4,0,1,0,0,0,0,0,15,0,0,0,0,0,0,32,499
